,lead,phase2,phase3,closed
119,2015-11-25,2015-12-26,2016-01-11,2016-01-23
120,2015-11-27,,,
121,2015-11-28,2016-01-02,2016-01-30,2016-02-19
122,2015-11-29,2016-01-06,2016-01-30,2016-01-30
123,2015-12-01,2015-12-20,2016-01-03,2016-01-03
124,2015-12-02,,,
125,2015-12-03,,,
126,2015-12-04,2015-12-22,2015-12-22,2015-12-22
127,2015-12-06,,,
128,2015-12-07,2016-01-25,2016-02-09,2016-02-09
129,2015-12-08,2016-01-16,2016-02-05,2016-02-28
130,2015-12-09,,,
131,2015-12-11,2016-01-07,2016-01-07,2016-01-07
132,2015-12-12,2016-01-08,2016-02-04,2016-02-20
133,2015-12-13,2016-01-13,2016-01-29,2016-02-21
134,2015-12-14,2016-01-01,2016-01-30,2016-01-30
135,2015-12-15,,,
136,2015-12-17,,,
137,2015-12-18,2016-01-07,2016-02-19,2016-03-15
138,2015-12-19,2016-01-25,2016-02-17,2016-02-17
139,2015-12-23,2016-01-25,2016-02-20,2016-02-20
140,2015-12-24,,,
141,2015-12-26,2016-02-12,2016-03-05,2016-03-29
142,2015-12-27,,,
143,2015-12-28,2016-02-02,2016-03-03,2016-03-03
144,2015-12-29,,,
145,2015-12-30,2016-01-18,2016-02-10,2016-02-10
146,2015-12-31,,,
147,2016-01-01,2016-02-27,2016-02-28,2016-02-28
148,2016-01-03,2016-03-01,2016-03-18,2016-03-18
149,2016-01-04,,,
150,2016-01-05,2016-02-01,2016-02-13,2016-02-18
151,2016-01-06,2016-02-03,2016-02-26,2016-03-04
152,2016-01-07,,,
153,2016-01-09,2016-02-14,2016-02-21,2016-03-02
154,2016-01-10,2016-02-25,2016-03-05,2016-03-05
155,2016-01-11,2016-02-20,2016-03-13,2016-03-13
156,2016-01-12,,,
157,2016-01-13,2016-02-22,2016-02-22,2016-02-22
158,2016-01-14,2016-02-17,2016-02-27,2016-03-23
159,2016-01-15,,,
160,2016-01-16,,,
161,2016-01-17,2016-01-22,2016-02-25,2016-02-25
162,2016-01-18,2016-04-01,2016-04-30,2016-05-07
163,2016-01-19,,,
164,2016-01-21,2016-03-06,2016-04-03,2016-04-12
165,2016-01-22,2016-02-17,2016-03-28,2016-04-10
166,2016-01-23,2016-03-06,2016-03-06,2016-03-06
167,2016-01-25,,,
168,2016-01-27,2016-02-26,2016-03-27,2016-04-13
169,2016-01-28,2016-02-10,2016-03-12,2016-03-12
170,2016-01-29,2016-02-17,2016-02-17,2016-02-17
171,2016-01-30,,,
172,2016-01-31,2016-02-06,2016-03-07,2016-03-20
173,2016-02-01,,,
174,2016-02-04,2016-03-07,2016-04-01,2016-04-01
175,2016-02-05,,,
176,2016-02-07,2016-03-19,2016-04-02,2016-04-02
177,2016-02-08,2016-03-27,2016-04-23,2016-04-23
178,2016-02-09,2016-03-14,2016-03-31,2016-04-13
179,2016-02-11,2016-03-12,2016-03-12,2016-03-12
180,2016-02-12,,,
181,2016-02-13,,,
182,2016-02-15,2016-03-13,2016-04-08,2016-04-08
183,2016-02-16,2016-04-30,2016-05-18,2016-05-30
184,2016-02-17,,,
185,2016-02-19,,,
186,2016-02-20,2016-03-07,2016-03-31,2016-04-07
187,2016-02-22,2016-04-02,2016-04-28,2016-04-28
188,2016-02-25,2016-03-18,2016-04-11,2016-04-11
189,2016-02-26,2016-04-12,2016-04-27,2016-05-13
190,2016-03-01,,,
191,2016-03-02,2016-03-17,2016-03-17,2016-03-17
192,2016-03-03,,,
193,2016-03-04,2016-04-04,2016-04-23,2016-04-23
194,2016-03-05,2016-03-06,2016-03-18,2016-03-18
195,2016-03-07,,,
196,2016-03-09,2016-03-13,2016-03-13,2016-03-13
197,2016-03-10,2016-04-10,2016-04-10,2016-04-10
198,2016-03-11,,,
199,2016-03-12,,,
200,2016-03-14,,,
201,2016-03-15,2016-03-27,2016-04-18,2016-04-18
202,2016-03-16,,,
203,2016-03-17,2016-04-02,2016-04-24,2016-04-24
204,2016-03-18,2016-04-20,2016-04-20,2016-04-20
205,2016-03-19,,,
206,2016-03-20,2016-05-10,2016-05-29,2016-06-11
207,2016-03-21,2016-04-02,2016-04-26,2016-04-26
208,2016-03-22,2016-04-25,2016-05-28,2016-06-13
209,2016-03-23,2016-04-20,2016-05-20,2016-05-20
210,2016-03-24,2016-04-22,2016-05-08,2016-05-22
211,2016-03-25,2016-04-05,2016-04-05,2016-04-05
212,2016-03-26,2016-04-10,2016-05-20,2016-05-20
213,2016-03-27,2016-04-13,2016-05-09,2016-05-21
214,2016-03-30,2016-04-27,2016-05-16,2016-05-16
215,2016-03-31,2016-05-07,2016-06-08,2016-06-08
216,2016-04-02,2016-05-06,2016-05-06,2016-05-06
217,2016-04-03,2016-05-05,2016-05-27,2016-06-08
218,2016-04-04,2016-05-27,,
219,2016-04-05,2016-05-08,2016-05-29,2016-05-29
220,2016-04-06,2016-05-11,2016-06-03,2016-06-15
221,2016-04-07,2016-04-22,2016-05-28,2016-05-28
222,2016-04-08,,,
223,2016-04-09,,,
224,2016-04-10,,,
225,2016-04-11,2016-05-17,,
226,2016-04-12,,,
227,2016-04-13,2016-06-07,,
228,2016-04-14,2016-04-30,2016-05-29,2016-05-29
229,2016-04-15,,,
230,2016-04-16,2016-06-04,,
231,2016-04-17,2016-05-19,,
232,2016-04-19,,,
233,2016-04-20,,,
234,2016-04-21,,,
235,2016-04-22,,,
236,2016-04-23,2016-05-13,2016-06-13,2016-06-13
237,2016-04-24,2016-05-06,2016-05-28,
238,2016-04-25,,,
239,2016-04-26,2016-04-30,2016-06-07,
240,2016-04-27,,,
241,2016-04-28,,,
242,2016-04-29,2016-06-07,,
243,2016-04-30,,,
244,2016-05-01,2016-05-19,2016-06-01,2016-06-01
245,2016-05-02,2016-05-30,,
246,2016-05-04,,,
247,2016-05-05,,,
248,2016-05-06,2016-06-15,,
249,2016-05-07,,,
250,2016-05-08,,,
251,2016-05-09,2016-06-10,,
252,2016-05-10,,,
253,2016-05-11,2016-06-11,,
254,2016-05-12,,,
255,2016-05-13,,,
256,2016-05-14,,,
257,2016-05-15,,,
258,2016-05-17,,,
259,2016-05-18,,,
260,2016-05-19,2016-06-14,,
261,2016-05-20,,,
262,2016-05-21,2016-06-07,,
263,2016-05-22,,,
264,2016-05-23,2016-06-06,,
265,2016-05-24,,,
266,2016-05-25,,,
267,2016-05-28,,,
268,2016-05-29,,,
269,2016-05-30,,,
270,2016-05-31,,,
271,2016-06-01,,,
272,2016-06-02,,,
273,2016-06-04,,,
274,2016-06-05,,,
275,2016-06-06,,,
276,2016-06-07,,,
277,2016-06-08,,,
278,2016-06-11,,,
279,2016-06-13,,,
280,2016-06-14,,,
281,2016-06-15,,,
282,2015-06-17,2015-07-15,2015-07-15,2015-07-15
283,2015-06-18,,,
284,2015-06-19,,,
285,2015-06-20,2015-07-18,2015-08-14,2015-08-14
286,2015-06-23,,,
287,2015-06-24,,,
288,2015-06-25,2015-08-07,2015-08-22,2015-08-22
289,2015-06-26,2015-07-26,2015-07-27,2015-08-08
290,2015-06-28,2015-07-22,2015-07-26,2015-07-26
291,2015-06-29,,,
292,2015-06-30,2015-08-08,2015-09-08,2015-10-01
293,2015-07-01,,,
294,2015-07-02,2015-08-20,2015-09-02,2015-09-02
295,2015-07-03,,,
296,2015-07-04,,,
297,2015-07-06,,,
298,2015-07-07,2015-08-12,2015-09-18,2015-09-24
299,2015-07-08,2015-10-03,2015-10-25,2015-10-25
300,2015-07-09,2015-08-29,2015-09-26,2015-10-15
301,2015-07-10,2015-08-13,2015-08-13,2015-08-13
302,2015-07-11,,,
303,2015-07-12,2015-08-27,2015-08-27,2015-08-27
304,2015-07-13,,,
305,2015-07-16,2015-09-03,2015-09-16,2015-09-16
306,2015-07-17,2015-09-09,2015-10-05,2015-10-05
307,2015-07-18,2015-08-11,2015-08-11,2015-08-11
308,2015-07-20,2015-08-31,2015-09-17,2015-10-13
309,2015-07-21,2015-08-10,2015-08-20,2015-08-21
310,2015-07-23,2015-08-31,2015-09-01,2015-09-14
311,2015-07-24,,,
312,2015-07-25,2015-08-28,2015-08-28,2015-08-28
313,2015-07-26,2015-09-09,2015-10-07,2015-10-07
314,2015-07-27,,,
315,2015-07-28,,,
316,2015-07-29,2015-09-06,2015-10-05,2015-10-05
317,2015-07-30,2015-08-29,2015-08-29,2015-08-29
318,2015-07-31,2015-08-18,2015-09-09,2015-09-09
319,2015-08-01,,,
320,2015-08-02,,,
321,2015-08-03,2015-08-25,2015-09-05,2015-09-05
322,2015-08-05,,,
323,2015-08-07,,,
324,2015-08-08,,,
325,2015-08-10,,,
326,2015-08-12,2015-09-16,2015-09-16,2015-09-16
327,2015-08-14,,,
328,2015-08-16,2015-09-23,2015-10-03,2015-10-03
329,2015-08-17,2015-09-25,2015-10-24,2015-11-06
330,2015-08-18,2015-09-10,2015-10-04,2015-10-04
331,2015-08-19,,,
332,2015-08-21,,,
333,2015-08-22,2015-09-28,2015-10-13,2015-10-25
334,2015-08-24,2015-09-30,2015-10-10,2015-10-24
335,2015-08-25,2015-10-26,2015-12-01,2015-12-24
336,2015-08-27,,,
337,2015-08-28,2015-10-09,2015-11-24,2015-12-12
338,2015-08-29,2015-10-20,2015-11-04,2015-11-04
339,2015-08-30,2015-10-05,2015-10-28,2015-10-28
340,2015-09-01,2015-09-27,2015-09-27,2015-09-27
341,2015-09-02,2015-09-17,2015-10-21,2015-10-30
342,2015-09-03,2015-10-25,2015-11-14,2015-11-15
343,2015-09-04,,,
344,2015-09-05,2015-10-11,2015-10-20,2015-10-20
345,2015-09-06,2015-09-26,2015-10-22,2015-11-11
346,2015-09-07,2015-10-02,2015-10-02,2015-10-02
347,2015-09-08,,,
348,2015-09-10,,,
349,2015-09-11,,,
350,2015-09-12,2015-10-30,2015-10-30,2015-10-30
351,2015-09-13,2015-10-05,2015-10-19,2015-10-23
352,2015-09-14,,,
353,2015-09-15,,,
354,2015-09-16,,,
355,2015-09-17,2015-10-21,2015-10-22,2015-11-06
356,2015-09-18,2015-11-17,2015-12-08,2015-12-30
357,2015-09-19,,,
358,2015-09-20,2015-11-09,2015-12-04,2015-12-04
359,2015-09-21,,,
360,2015-09-23,,,
361,2015-09-24,,,
362,2015-09-25,2015-11-04,2015-11-09,2015-11-29
363,2015-09-26,,,
364,2015-09-27,2015-11-09,2015-12-01,2015-12-01
365,2015-09-28,2015-10-25,2015-10-25,2015-10-25
366,2015-09-30,,,
367,2015-10-01,2015-10-30,2015-12-05,2015-12-05
368,2015-10-03,2015-10-31,2015-11-20,2015-11-20
369,2015-10-04,,,
370,2015-10-05,2015-11-12,2015-11-12,2015-11-12
371,2015-10-06,,,
372,2015-10-08,,,
373,2015-10-09,2015-11-23,2015-11-28,2015-11-28
374,2015-10-11,2015-11-19,2015-11-29,2015-11-29
375,2015-10-12,2015-12-04,2015-12-20,2015-12-20
376,2015-10-13,,,
377,2015-10-14,,,
378,2015-10-15,2015-11-27,2015-12-18,2015-12-31
379,2015-10-16,2015-12-14,2015-12-26,2016-01-14
380,2015-10-17,,,
381,2015-10-18,,,
382,2015-10-20,,,
383,2015-10-21,2015-11-18,2015-12-16,2015-12-16
384,2015-10-22,,,
385,2015-10-23,2015-12-01,2015-12-01,2015-12-01
386,2015-10-24,2015-12-08,2015-12-28,2015-12-28
387,2015-10-25,2015-12-20,2016-01-07,2016-01-24
388,2015-10-26,2015-12-22,2016-01-14,2016-01-14
389,2015-10-27,,,
390,2015-10-28,2015-12-07,2015-12-18,2016-01-02
391,2015-10-29,2015-11-01,2015-12-09,2016-01-02
392,2015-10-30,2015-12-24,2016-01-31,2016-02-10
393,2015-10-31,2015-11-28,2015-12-12,2015-12-12
394,2015-11-01,2015-11-17,2015-12-05,2015-12-10
395,2015-11-02,2016-01-01,2016-01-17,2016-01-17
396,2015-11-04,2015-12-19,2016-01-23,2016-01-23
397,2015-11-05,2015-11-22,2015-12-17,2015-12-17
398,2015-11-06,2015-12-12,2015-12-21,2015-12-21
399,2015-11-07,2015-12-17,2016-01-03,2016-01-03
400,2015-11-08,2015-11-23,2015-12-05,2015-12-05
401,2015-11-09,2015-12-11,2016-01-04,2016-01-04
402,2015-11-10,2015-12-12,2015-12-22,2015-12-22
403,2015-11-11,2016-01-05,2016-01-06,2016-01-06
404,2015-11-12,,,
405,2015-11-13,2016-01-13,2016-01-31,2016-01-31
406,2015-11-14,2015-12-24,2016-01-26,2016-02-07
407,2015-11-15,2016-01-21,2016-02-06,2016-02-06
408,2015-11-16,2015-12-28,2016-01-28,2016-02-22
409,2015-11-17,,,
410,2015-11-18,,,
411,2015-11-19,2016-01-02,2016-01-22,2016-01-22
412,2015-11-20,2015-12-13,2016-01-02,2016-01-02
413,2015-11-21,2015-12-31,2016-01-05,2016-01-05
414,2015-11-22,2016-01-06,2016-01-26,2016-01-27
415,2015-11-23,,,
416,2015-11-24,2016-01-15,2016-01-15,2016-01-15
417,2015-11-25,2015-12-19,2016-01-12,2016-01-12
418,2015-11-28,,,
419,2015-11-30,2015-12-01,2016-01-04,2016-01-04
420,2015-12-02,,,
421,2015-12-03,2016-01-23,2016-02-08,2016-02-08
422,2015-12-04,,,
423,2015-12-07,2016-01-29,2016-01-29,2016-01-29
424,2015-12-08,2016-01-15,2016-02-07,2016-02-28
425,2015-12-10,2016-01-16,2016-02-08,2016-02-08
426,2015-12-11,2015-12-30,2016-02-03,2016-02-03
427,2015-12-12,2016-01-07,2016-01-26,2016-02-18
428,2015-12-13,,,
429,2015-12-14,,,
430,2015-12-15,2016-01-06,2016-01-24,2016-02-03
431,2015-12-16,2016-01-11,2016-01-11,2016-01-11
432,2015-12-19,2016-02-18,2016-03-03,2016-03-03
433,2015-12-20,2016-01-28,2016-02-10,2016-02-21
434,2015-12-21,2016-01-20,2016-01-21,2016-01-21
435,2015-12-22,,,
436,2015-12-23,,,
437,2015-12-24,,,
438,2015-12-25,2016-01-21,2016-02-04,2016-02-27
439,2015-12-26,,,
440,2015-12-27,,,
441,2015-12-28,2016-01-17,2016-02-18,2016-02-18
442,2015-12-29,2016-03-06,2016-03-27,2016-03-27
443,2015-12-30,,,
444,2015-12-31,2016-01-31,2016-03-17,2016-03-17
445,2016-01-01,2016-02-04,2016-02-13,2016-02-13
446,2016-01-02,,,
447,2016-01-03,,,
448,2016-01-05,,,
449,2016-01-06,,,
450,2016-01-07,2016-02-26,2016-03-24,2016-03-24
451,2016-01-08,2016-02-22,2016-03-07,2016-03-07
452,2016-01-09,,,
453,2016-01-10,2016-01-19,2016-01-19,2016-01-19
454,2016-01-12,,,
455,2016-01-14,2016-02-22,2016-03-18,2016-04-04
456,2016-01-15,2016-02-24,2016-03-08,2016-03-16
457,2016-01-16,2016-03-09,2016-04-03,2016-04-03
458,2016-01-17,,,
459,2016-01-18,,,
460,2016-01-19,2016-02-22,2016-03-08,2016-04-03
461,2016-01-20,,,
462,2016-01-21,2016-04-01,2016-04-01,2016-04-01
463,2016-01-22,2016-02-24,2016-03-23,2016-03-23
464,2016-01-23,,,
465,2016-01-24,,,
466,2016-01-25,2016-03-11,2016-04-18,2016-04-22
467,2016-01-28,,,
468,2016-01-29,2016-02-24,2016-04-07,2016-04-07
469,2016-01-30,,,
470,2016-01-31,2016-02-25,2016-03-24,2016-04-15
471,2016-02-01,2016-03-16,2016-03-16,2016-03-16
472,2016-02-02,,,
473,2016-02-03,,,
474,2016-02-04,2016-02-14,2016-02-14,2016-02-14
475,2016-02-05,,,
476,2016-02-06,,,
477,2016-02-08,2016-03-08,2016-03-27,2016-04-12
478,2016-02-09,,,
479,2016-02-10,,,
480,2016-02-11,,,
481,2016-02-12,2016-03-26,2016-04-09,2016-04-27
482,2016-02-14,,,
483,2016-02-15,2016-04-21,2016-05-10,2016-05-23
484,2016-02-16,2016-03-13,2016-04-13,2016-04-13
485,2016-02-17,,,
486,2016-02-18,2016-03-03,2016-03-22,2016-03-22
487,2016-02-19,2016-03-11,2016-03-11,2016-03-11
488,2016-02-20,2016-03-30,2016-04-22,2016-04-22
489,2016-02-21,2016-04-08,2016-05-05,2016-05-05
490,2016-02-23,2016-04-01,2016-04-28,2016-04-28
491,2016-02-24,2016-04-09,2016-04-30,2016-04-30
492,2016-02-25,2016-04-04,2016-05-06,2016-05-06
493,2016-02-26,2016-03-16,2016-04-23,2016-05-19
494,2016-02-27,2016-05-02,2016-06-14,
495,2016-02-28,2016-04-05,2016-04-24,2016-04-24
496,2016-02-29,2016-03-30,2016-04-20,2016-05-08
497,2016-03-01,,,
498,2016-03-04,,,
499,2016-03-06,2016-03-30,2016-05-03,2016-05-03
500,2016-03-07,,,
501,2016-03-08,2016-04-15,2016-05-09,2016-05-09
502,2016-03-09,,,
503,2016-03-10,2016-04-25,2016-05-11,2016-05-11
504,2016-03-12,2016-04-07,2016-04-28,2016-04-28
505,2016-03-13,2016-05-01,2016-05-30,2016-05-30
506,2016-03-16,2016-05-22,,
507,2016-03-17,2016-04-13,2016-04-13,2016-04-13
508,2016-03-18,,,
509,2016-03-19,,,
510,2016-03-20,,,
511,2016-03-22,,,
512,2016-03-23,2016-04-22,2016-05-22,2016-05-22
513,2016-03-24,,,
514,2016-03-25,,,
515,2016-03-26,2016-04-23,2016-05-17,2016-05-28
516,2016-03-28,2016-05-04,,
517,2016-03-29,,,
518,2016-03-30,2016-03-31,2016-05-04,2016-05-19
519,2016-03-31,2016-04-11,2016-04-11,2016-04-11
520,2016-04-02,2016-05-19,2016-05-19,2016-05-19
521,2016-04-03,,,
522,2016-04-04,2016-04-05,2016-04-28,2016-04-28
523,2016-04-05,,,
524,2016-04-06,,,
525,2016-04-07,2016-04-20,2016-05-12,2016-06-02
526,2016-04-08,,,
527,2016-04-10,2016-05-12,2016-05-12,2016-05-12
528,2016-04-11,2016-05-15,2016-05-15,2016-05-15
529,2016-04-13,2016-05-03,2016-06-01,2016-06-14
530,2016-04-14,2016-05-19,2016-05-19,2016-05-19
531,2016-04-15,,,
532,2016-04-16,,,
533,2016-04-17,,,
534,2016-04-18,,,
535,2016-04-19,,,
536,2016-04-20,2016-04-21,2016-05-26,2016-06-06
537,2016-04-21,2016-04-22,2016-04-22,2016-04-22
538,2016-04-22,,,
539,2016-04-23,,,
540,2016-04-24,,,
541,2016-04-26,,,
542,2016-04-28,,,
543,2016-04-29,2016-06-13,,
544,2016-04-30,2016-05-18,2016-06-09,
545,2016-05-01,2016-05-29,,
546,2016-05-04,,,
547,2016-05-05,,,
548,2016-05-06,2016-05-31,,
549,2016-05-07,2016-06-07,,
550,2016-05-09,,,
551,2016-05-10,,,
552,2016-05-11,2016-05-12,2016-05-12,2016-05-12
553,2016-05-12,,,
554,2016-05-13,,,
555,2016-05-14,,,
556,2016-05-15,,,
557,2016-05-16,2016-06-10,,
558,2016-05-17,,,
559,2016-05-18,,,
560,2016-05-19,,,
561,2016-05-20,,,
562,2016-05-21,,,
563,2016-05-22,,,
564,2016-05-23,,,
565,2016-05-24,,,
566,2016-05-25,,,
567,2016-05-26,2016-06-08,2016-06-08,2016-06-08
568,2016-05-27,,,
569,2016-05-28,,,
570,2016-05-29,,,
571,2016-05-30,,,
572,2016-05-31,,,
573,2016-06-02,,,
574,2016-06-03,,,
575,2016-06-05,,,
576,2016-06-06,,,
577,2016-06-07,,,
578,2016-06-09,,,
579,2016-06-10,,,
580,2016-06-11,,,
581,2016-06-13,,,
582,2016-06-14,,,
583,2016-06-15,,,
584,2015-06-18,2015-07-19,2015-07-30,2015-08-25
585,2015-06-19,2015-07-30,2015-08-02,2015-08-31
586,2015-06-20,2015-07-28,2015-08-06,2015-08-06
587,2015-06-21,2015-07-15,2015-07-15,2015-07-15
588,2015-06-22,2015-08-25,2015-09-05,2015-09-12
589,2015-06-23,,,
590,2015-06-24,,,
591,2015-06-25,,,
592,2015-06-27,2015-08-14,2015-09-08,2015-09-08
593,2015-06-28,2015-08-19,2015-08-19,2015-08-19
594,2015-07-01,2015-09-11,2015-09-24,2015-09-24
595,2015-07-02,,,
596,2015-07-04,2015-07-30,2015-07-30,2015-07-30
597,2015-07-05,2015-08-06,2015-09-03,2015-09-15
598,2015-07-06,,,
599,2015-07-07,,,
600,2015-07-08,2015-09-01,2015-09-22,2015-09-22
601,2015-07-11,,,
602,2015-07-12,,,
603,2015-07-13,,,
604,2015-07-14,,,
605,2015-07-15,,,
606,2015-07-16,,,
607,2015-07-17,2015-09-06,2015-09-06,2015-09-06
608,2015-07-19,2015-09-15,2015-09-15,2015-09-15
609,2015-07-20,2015-08-25,2015-09-22,2015-09-22
610,2015-07-21,,,
611,2015-07-22,,,
612,2015-07-23,,,
613,2015-07-24,2015-08-08,2015-08-17,2015-09-08
614,2015-07-25,,,
615,2015-07-26,2015-08-30,2015-09-24,2015-09-24
616,2015-07-27,2015-08-23,2015-09-03,2015-09-28
617,2015-07-28,,,
618,2015-07-29,,,
619,2015-07-30,,,
620,2015-07-31,,,
621,2015-08-01,2015-08-09,2015-09-03,2015-09-03
622,2015-08-02,,,
623,2015-08-04,2015-09-15,2015-10-11,2015-10-11
624,2015-08-05,2015-09-01,2015-09-01,2015-09-01
625,2015-08-07,2015-08-20,2015-08-20,2015-08-20
626,2015-08-09,2015-09-11,2015-09-11,2015-09-11
627,2015-08-10,2015-09-16,2015-09-16,2015-09-16
628,2015-08-11,2015-09-22,2015-09-22,2015-09-22
629,2015-08-12,2015-10-05,2015-10-05,2015-10-05
630,2015-08-13,2015-08-18,2015-08-18,2015-08-18
631,2015-08-15,2015-09-15,2015-09-22,2015-09-22
632,2015-08-16,2015-09-13,2015-10-09,2015-10-09
633,2015-08-18,,,
634,2015-08-19,,,
635,2015-08-20,2015-10-12,2015-11-07,2015-11-20
636,2015-08-21,2015-09-23,2015-09-23,2015-09-23
637,2015-08-22,,,
638,2015-08-23,2015-09-20,2015-10-16,2015-10-16
639,2015-08-24,2015-09-22,2015-10-20,2015-10-20
640,2015-08-25,2015-09-29,2015-09-29,2015-09-29
641,2015-08-27,2015-11-11,2015-11-11,2015-11-11
642,2015-08-29,2015-09-24,2015-09-24,2015-09-24
643,2015-09-01,,,
